Tweet No || ID from Twitter API || Date || Content
1	||	743910485796454400	||	Fri Jun 17 23:57:35 EEST 2016	||	RT @sessizharf1: berabereyken mehter çalıyorlardı 3-0 olunca 10. yıl marşına geçtiler bu mağlubiyeti de kemalizme yıkacaklar
2	||	745383269517037568	||	Wed Jun 22 01:29:54 EEST 2016	||	RT @AylinAtaoglu: Bu marşın hangi sözleri hangi gayri MİLLİ insan müsveddesini rahatsız etti?10uncu YılMarşı https://t.co/FsCiGrpuG8
3	||	640950321842384897	||	Mon Sep 07 21:10:39 EEST 2015	||	Türkiye,3 tarafı denizlerle 1 tarafı şehitlerimizle ve 4 bir yanı hainlerle çevrili bir kara parçasıdır. #terörelanetolsun #dağlıca
4	||	736271458633146368	||	Fri May 27 22:02:49 EEST 2016	||	Alahım hayallerimiz gercek oldu #alanyaspor süper ligde
5	||	817655481128906752	||	Sat Jan 07 10:53:52 EET 2017	||	Açın FB Tv yi İzmirin dağlarında çicekler açar marşını dinleyin.
6	||	817453441513615360	||	Fri Jan 06 21:31:02 EET 2017	||	RT @EurohoopsTR: Ülker Arena bir kez daha İzmir Marşıyla inliyor! https://t.co/pLU9i15yoV
7	||	817118698314014720	||	Thu Jan 05 23:20:53 EET 2017	||	RT @fdemirci: Korkma diye başlayan İstiklal Marşı'nın hakkını teslim eden #FethiSekin ruhud şad mekanın cennet olsun.
8	||	640862774114000896	||	Mon Sep 07 15:22:46 EEST 2015	||	@ErhanKutlug sil amk yerini haritadan dağlıcayı düm düz ovaya çevir işte
9	||	818173498636075008	||	Sun Jan 08 21:12:17 EET 2017	||	RT @L94923054: #YanımdaKal tuna nın kıymetinin anlaşılması için illa başına birşey mi gelmesi lazmdi
10	||	787971687086260224	||	Mon Oct 17 14:01:04 EEST 2016	||	RT @ercan_toksoz: Kürk mantolu madonna'yı şarkıcı madonna ile gündeme gelmesi, ülkenin durumunu özetler nitelikte. Cehaletten ölünse,nüfus…
11	||	673805173286961153	||	Mon Dec 07 12:04:06 EET 2015	||	RT @_hizmetkar__: Antalya Kısa Film Festivali'nde en iyi erkek oyuncu ödülü alan @nadirsaribacak'ın sansürlenen konuşması...https://t.co/U…
12	||	702964540909199360	||	Thu Feb 25 23:13:01 EET 2016	||	Bi biz kalinca @trtspor yalakaliga başladı,100.yıl marşına klip yapmislar:))) Fenerbahçe adamınnnn......
13	||	743843687310987264	||	Fri Jun 17 19:32:09 EEST 2016	||	Bolu milli egitim müdürü Yusuf Cengiz 10. yıl marşını il genelinde yasaklamış. Şimdi biz buna o..... dedigimizde suçlu biz mi oluyoruz ?
14	||	702321990334599169	||	Wed Feb 24 04:39:45 EET 2016	||	RT hakdinislam01: Amellerin en faziletlisi Allah için sevmek, Allah için buğzetmektir. Hadis-i Şerif #hadis #hadis
15	||	595311571502571520	||	Mon May 04 22:38:33 EEST 2015	||	#OnlarKonusurAKPartiYapar #MerhumHalitUYGURicin #SaldırGALATASARAY #BaşkaKapıya #ÜzülüyorumÇünkü Özcan Deniz https://t.co/LpGtE8zxq1
16	||	673662256559857664	||	Mon Dec 07 02:36:12 EET 2015	||	RT @ultrAslan: İYİ Kİ GALATASARAYLIYIZ !
17	||	628930956494249984	||	Wed Aug 05 17:09:59 EEST 2015	||	http://t.co/Z9cSO6DQpi Jude Christodal - Madonna (Full Version) - Banshee Soundtrack" @yedekfikirler bence dinlemelisin çok güzel @JaredLeto
18	||	736268942084321280	||	Fri May 27 21:52:49 EEST 2016	||	Alanya hak etti normalde direk çıkmaları gerekiyordu tebrikler alanyaspor
19	||	674650195494363136	||	Wed Dec 09 20:01:55 EET 2015	||	Leyla ile Mecnun izlerken çay içmek ne ise İZKAL'de de okumak, şampiyon olmak o #buyıldaliderizkal
20	||	641141892479102976	||	Tue Sep 08 09:51:53 EEST 2015	||	RT @tugbaildiz: Hangi kelime hangi cümle anlatır ki bu acıyı #SizeBuÜlkeyiBöldürmeyeceğiz #dağlıca https://t.co/1ZkVMNdRss
21	||	651723081279533056	||	Wed Oct 07 14:37:45 EEST 2015	||	@bi_gane burnumuzdan getirdiler nobel'i ya! :)
22	||	674947013809676288	||	Thu Dec 10 15:41:22 EET 2015	||	RT @sitelergiad: 2015 Nobel Kimya Ödülü alan #AzizSancar.#nobelgururu https://t.co/pMDCnW7euG
23	||	596279570740936705	||	Thu May 07 14:45:02 EEST 2015	||	@Hapsugagaliyasa Bir madonna fani sıçmığı daha..
24	||	640774458844778496	||	Mon Sep 07 09:31:50 EEST 2015	||	RT @RTE_oztrk2023: Herşey apaçık ortada 1 gün sonra dağlıca saldırısı. #SorumlusuHdpKK http://t.co/8Z0jMlvFrJ
25	||	639509158958624768	||	Thu Sep 03 21:43:59 EEST 2015	||	Kimse Alpay Özalan gibi milli marş okumadi , okuyamaz da ..
26	||	651713920907014144	||	Wed Oct 07 14:01:21 EEST 2015	||	Üstad bu tweetle hak etmiş nobeli helal olsun https://t.co/PvQalNKDTF
27	||	743924498982965248	||	Sat Jun 18 00:53:16 EEST 2016	||	Hadi reyis bi milli takım marşı daha yaz kendimize gelelim @tarkan
28	||	788069787641544704	||	Mon Oct 17 20:30:53 EEST 2016	||	RT @multilobradyoo: raf dışı, bu programda fanzinler, dergiler ve filmekiminden konuşacak, hangi madonna diye soracak. saat 21:00'de https:…
29	||	767070568453636098	||	Sat Aug 20 21:47:29 EEST 2016	||	BAŞLADIII Besiktaş - Alanyaspor  Online Canlı Yayın Lig Tv İzleLink >> https://t.co/xE3ya262fP #bgnlinki xxxx
30	||	701829759379099648	||	Mon Feb 22 20:03:48 EET 2016	||	RT @nedenttoldu: Kayseri Milli Eğitim Müdürü: "Okul yönetimini ve o öğretmeni açığa aldık. Şu an o öğretmen tutuklu" https://t.co/7G55FQyIA…
31	||	818161716861210624	||	Sun Jan 08 20:25:28 EET 2017	||	RT @Erdem10combr: Beşiktaş'ı ilk yarıda çok beğendim böyle devam ederlerse play-off neden olmasın bu sezon
32	||	788067447224037376	||	Mon Oct 17 20:21:35 EEST 2016	||	Siz madonnanın en çok neyini beğenirsiniz mesela ben kürk mantosunu
33	||	816927605823774720	||	Thu Jan 05 10:41:33 EET 2017	||	RT @sefika1980: @fenobella yaptığım bileklikleri duyurup satabilmek için rt yapıp destek olabilir misiniz??sipariş için dm lütfen. https://t…
34	||	702751621260951553	||	Thu Feb 25 09:06:57 EET 2016	||	Hadi hadi! ????marş marş! Önce kahvaltı sonra üretim!
35	||	639560404973264896	||	Fri Sep 04 01:07:37 EEST 2015	||	"İhbara ödül" ileri bir adımsa ,bir ileri adım daha atalım ve "istihbaratı" özelleştirelim...Sonra güvenlik ve silahlı kuvvetleri de..
36	||	817726805272629248	||	Sat Jan 07 15:37:17 EET 2017	||	RT @gafebesi: Dünyanın farklı coğrafyalarından enstrümanlarla İstiklal Marşımız. https://t.co/FFakmUIImJ
37	||	639145907079016448	||	Wed Sep 02 21:40:33 EEST 2015	||	@ohakavgacikti @GalatasaraySK halı sahadaki adam toplama performansımla bunlardan iyi takım kırarım
38	||	701823103047958528	||	Mon Feb 22 19:37:21 EET 2016	||	@Aysnugrl of sabahattin ali ama yaa????
39	||	639743041746694144	||	Fri Sep 04 13:13:21 EEST 2015	||	RT @Antalyasam: “Gitme Ne olur ayağa kalk”Saldırıda şehit düşen Emniyet Amiri İ.Halil Aksoy Alanya'da gözyaşları ile uğurlandı http://t.co…
40	||	641186666644938752	||	Tue Sep 08 12:49:48 EEST 2015	||	#dağlıca ya yastayken şimdide #ığdır da şehitlerimiz var... kalleş köpekler o anaların gözyaşları sizden sorulmayacak mı zannediyorsunuz!!!
41	||	640102275491459072	||	Sat Sep 05 13:00:49 EEST 2015	||	RT @footbalista_: Timsah Arena'da stat ile ilgili testler sırasında Fenerbahçe marşı çalınmasına Bursalı taraftarlar büyük tepki gösterdi (…
42	||	651860318885384194	||	Wed Oct 07 23:43:05 EEST 2015	||	RT @erdemli1toplum: Bu coğrafya da doğmuş biri nobel almış fakat ülkesin deki insanlar onun etnik kimliğini,ideolojisini tartışıyor.Utanç …
43	||	651849023645683712	||	Wed Oct 07 22:58:12 EEST 2015	||	RT @gezginn55: Aziz Sancar nobel ödülü alsınBizde kırmızı renk araba kullanankadınların analizini alalım!Şaka gibi? #AzizSancar http://…
44	||	630394735040008192	||	Sun Aug 09 18:06:31 EEST 2015	||	RT @forstleydiniz: Yaz günü Alanya'da güneşimiz battı. Midyat'ta şehit düşen polisimiz  Abdullah Ümit Sercan. Ruhun Şâd, Mekanın Uçmağ olsu…
